"entity","type","direction","source","notes","date"
"171.246.129.111","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Scanning Host","2017-03-14"
"113.190.86.232","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Scanning Host","2017-03-21"
"103.23.138.77","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Scanning Host","2017-03-21"
"95.9.46.51","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Scanning Host","2017-03-21"
"193.124.9.211","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Scanning Host","2017-03-21"
"117.2.240.107","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Scanning Host","2017-03-21"
"59.16.62.26","","inbound","http://reputation.alienvault.com/reputation.data","Malicious Host;Scanning Host","2017-03-10"
"113.162.79.107","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Scanning Host","2017-03-21"
"37.98.220.207","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Scanning Host","2017-03-21"
"36.149.85.86","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Scanning Host","2017-03-21"
"35.154.1.5","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Scanning Host","2017-03-21"
"190.6.174.30","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Scanning Host","2017-03-21"
"176.251.68.242","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Scanning Host","2017-03-20"
"119.76.132.152","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Scanning Host","2017-03-20"
"189.221.238.61","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Scanning Host","2017-03-20"
"186.75.118.172","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Scanning Host","2017-03-20"
"95.5.71.141","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Scanning Host","2017-03-21"
"201.172.242.178","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Scanning Host","2017-03-21"
"182.186.140.249","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Scanning Host","2017-03-21"
"27.76.115.180","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Scanning Host","2017-03-21"
"195.140.221.171","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Scanning Host","2017-03-21"
"187.253.171.165","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Scanning Host","2017-03-21"
